TweetContent,Label
"It's inspiring to see Rome harnessing AI for accessibility during the Jubilee year starting January 1. With an expected 35 million visitors, the virtual assistant Julia will help them explore the city while managing record travel to this ancient capital. https://msft.it/6004W12DK",safe
👹 AIRDROP second release more 10 000 GOBLINS 👹 https://goblintowm.wtf https://goblintowm.wtf FREE CLAIM NOW! 🔥 Pay only for gas. 🙌 https://goblintowm.wtf,scam
I'm happy to see everyone enjoying @HeadsUp. We're the #1 sports app in the App Store. Download it here today: http://t.co/TmtbNSC9,safe
"Highest score I've seen! RT @Nessa Oh yeah! First place here i come!I just scored 202,178 in the Soccer Field stage in @HeadsUp",safe
@Jake_Fitch What was your score? RT @trilog3tek I just past your score in @HeadsUp in the Soccer Field Stage :) http://t.co/TmtbNSC9,safe
Glad you liked it @MikeTyson RT my friend @cristiano just showed me his new game & it's addicting! - http://t.co/TmtbNSC9,safe
We had a very important win against Atlético last saturday. Here are some photos. Share yours too. http://t.co/XRDj6Y09,safe
🚀💰 Make your first million in crypto with us! Register now for a free consultation with our expert team. Link: #CryptoMillionaire #SuccessStory,scam
I can't wait to recreate this on a tour we do together in the next 10 years pls thnx https://t.co/PQz0nCUNV6,safe
I wanna adopt him ILHSM https://t.co/5Sr9wHnIEY,safe
@jessesaintjohn imma make a best of 16' Spotify playlist and half of these are on there. I love our taste.,safe
@jessesaintjohn @kanyewest FADE DOE,safe
"Omg deep cut, agreed https://t.co/0yGlkuo3bJ",safe
We’re running a study to improve our crypto security measures. Participants will receive $100 in ETH as a thank-you. Apply now!,scam
"Due to unusual activity, we need all users to complete a quick account security verification. Secure your wallet now! #CryptoAlert #ProtectYourFunds 🔒🔒🔒",scam
New to crypto? Start with our free beginner’s guide on wallet security and common pitfalls. Protect yourself from fraud!,safe
"Considering investing in crypto? Remember, no one can guarantee returns. If it sounds too good to be true, it probably is. Here’s a checklist for safe investing: https://www.dhs.gov/sites/default/files/2022-09/Cryptocurrency%20Tri-fold%20Final.pdf",safe
"Curious about blockchain? Here’s our comprehensive, unbiased report on top tokens and how to research before investing. No sign-up required: https://www.investopedia.com/terms/b/blockchain.asp.  #Blockchain101 #CryptoResearch",safe
